type,state,parent,ownItems,effectiveItems,aliases,note
appliance,typed,,5,5,"",""
appliance-dishwasher,typed,appliance,3,8,"",""
appliance-dryer,typed,appliance,3,8,"",""
appliance-freezer,stub,,0,0,"",""
appliance-microwave,typed,appliance,2,7,"",""
appliance-range,typed,appliance,4,9,"stove; oven; cooktop",""
appliance-range-hood,typed,appliance,3,8,"exhaust fan; hood fan",""
appliance-refrigerator,typed,appliance,3,8,"fridge",""
appliance-washer,typed,appliance,5,10,"washing machine",""
backflow-preventer,stub,,0,0,"",""
backwater-valve,typed,,2,2,"",""
bathtub,typed,,5,5,"tub",""
boiler,typed,,9,9,"",""
boiler-zone-valve,stub,,0,0,"",""
chimney,typed,,6,6,"flue",""
cistern,stub,,0,0,"",""
cleanout,typed,,2,2,"",""
co-alarm,typed,,5,5,"carbon monoxide detector; co detector","shared items"
comparison-position,typed,,4,4,"",""
curb-stop,typed,,3,3,"curb valve; municipal shutoff",""
deck,typed,,6,6,"porch",""
dehumidifier,typed,,6,6,"",""
dock,typed,,6,6,"",""
door,typed,,2,2,"",""
downspout,typed,,3,3,"gutter; eavestrough",""
dryer-duct,typed,,5,5,"",""
electrical-panel,typed,,9,9,"breaker panel; fuse box; service panel",""
elevator-lift,stub,,0,0,"",""
ev-charger,stub,,0,0,"",""
fireplace,typed,,8,8,"",""
floor-drain,typed,,2,2,"",""
foundation-crack,typed,,6,6,"",""
fuel-tank,typed,,7,7,"propane tank; oil tank",""
furnace,typed,,9,9,"air handler",""
garage-door,typed,,6,6,"",""
gas-shutoff,typed,,2,2,"",""
generator,typed,,6,6,"genset; transfer switch",""
heat-pump,typed,,7,7,"air conditioner; a/c; ac condenser; condenser","also serves AC condensers"
hose-bib,typed,,3,3,"outdoor tap; garden tap; spigot; sillcock",""
hrv-erv,typed,,6,6,"",""
humidifier,typed,,6,6,"",""
iron-filter,stub,,0,0,"",""
irrigation-backflow,typed,,6,6,"sprinkler; sprinkler system",""
laundry-tub,typed,,3,3,"",""
leak-sensor,typed,,5,5,"",""
outbuilding,stub,,0,0,"",""
pool-equipment,typed,,6,6,"hot tub; spa",""
radon-fan,stub,,0,0,"",""
receptacle-gfci,typed,,2,2,"outlet; plug; gfi",""
register,typed,,1,1,"",""
retaining-wall,typed,,2,2,"",""
reverse-osmosis,typed,water-treatment,3,10,"ro",""
sediment-filter,typed,water-treatment,3,10,"",""
septic-alarm,typed,,5,5,"",""
septic-lid,typed,,4,4,"septic tank",""
shower,typed,,5,5,"",""
sink,typed,,6,6,"lavatory; vanity; basin",""
smoke-alarm,typed,,5,5,"smoke detector","shared items"
solar-inverter,typed,,7,7,"solar panel; pv",""
sump-pump,typed,,8,8,"",""
toilet,typed,,7,7,"wc; commode",""
tree,typed,,4,4,"",""
uv-sterilizer,typed,water-treatment,3,10,"uv",""
vent-termination,typed,,2,2,"",""
water-heater,typed,,10,10,"hot water tank; hot water heater; hwt",""
water-main,typed,,4,4,"main shutoff; water shutoff",""
water-softener,typed,water-treatment,4,11,"softener",""
water-treatment,typed,,7,7,"",""
well-pressure-tank,typed,,6,6,"",""
wellhead,typed,,7,7,"",""
window,typed,,2,2,"",""
